field_id,date,timestamp,temperature,humidity_air,precipitation,wind_speed,soil_moisture,crop_type,soil_type,yield_actual,irrigation_volume,irrigation_recommended,is_anomaly,humidity,precipitation_7d,avg_temperature_7d,solar_radiation,crop_code,soil_code,yield_tha
field_001,2024-04-04,2024-04-04T00:00:00,23.58,69.24,21.69,12.18,64.02,wheat,Суглинок,0.6367,0.0,0.0,False,69.24,167.51,23.05,541.16,0,1,5.094
field_002,2024-04-04,2024-04-04T00:00:00,33.58,32.69,1.66,2.27,37.07,barley,Торфяной,0.3476,3.94,4.52,False,32.69,12.75,31.46,336.2,3,4,2.433
field_003,2024-04-05,2024-04-05T00:00:00,9.04,26.54,1.38,5.69,22.69,other,Торфяной,0.3146,16.0,13.06,False,26.54,6.54,6.36,558.43,6,4,1.888
field_004,2024-04-05,2024-04-05T00:00:00,6.52,38.25,5.92,5.42,35.05,sunflower,Торфяной,0.3566,10.48,8.73,False,38.25,31.05,6.95,179.55,2,4,1.426
field_005,2024-04-05,2024-04-05T00:00:00,37.37,32.24,21.09,9.1,42.49,barley,Глинистый,0.3607,2.69,2.63,False,32.24,207.07,40.25,617.69,3,3,2.525
field_006,2024-04-05,2024-04-05T00:00:00,35.02,58.78,9.63,6.01,46.79,sugar_beet,Глинистый,0.4713,7.47,8.12,False,58.78,76.8,33.61,436.73,5,3,28.28
field_007,2024-04-05,2024-04-05T00:00:00,18.28,75.06,7.42,7.64,71.55,corn,Торфяной,0.7996,0.0,0.0,False,75.06,75.27,20.78,347.02,1,4,9.595
field_008,2024-04-05,2024-04-05T00:00:00,27.15,46.04,18.37,1.6,50.44,sugar_beet,Глинистый,0.5981,8.63,6.84,False,46.04,90.33,28.32,518.63,5,3,35.886
field_009,2024-04-06,2024-04-06T00:00:00,38.56,83.46,14.84,8.38,63.95,sugar_beet,Чернозём,0.591,1.7,2.12,False,83.46,133.26,40.33,302.03,5,0,35.458
field_010,2024-04-06,2024-04-06T00:00:00,25.04,59.02,13.07,13.06,66.97,wheat,Торфяной,0.5847,0.0,0.0,False,59.02,115.6,26.83,509.76,0,4,4.677
field_011,2024-04-06,2024-04-06T00:00:00,19.65,81.53,16.78,5.29,75.0,wheat,Песчаник,0.5824,0.0,0.0,False,81.53,97.92,22.04,312.32,0,2,4.659
field_012,2024-04-06,2024-04-06T00:00:00,20.33,52.98,18.24,5.46,57.95,sunflower,Глинистый,0.7036,0.91,0.72,False,52.98,134.46,22.94,437.62,2,3,2.814
field_013,2024-04-06,2024-04-06T00:00:00,34.77,71.51,3.05,11.61,51.0,other,Песчаник,0.3543,3.04,3.15,False,71.51,23.22,35.89,422.59,6,2,2.126
field_014,2024-04-07,2024-04-07T00:00:00,37.15,82.03,2.76,1.76,52.87,sunflower,Глинистый,0.4958,2.73,2.5,False,82.03,28.97,39.42,652.14,2,3,1.983
field_015,2024-04-07,2024-04-07T00:00:00,36.4,27.12,6.02,9.29,31.42,other,Торфяной,0.3515,7.31,10.0,False,27.12,27.1,38.06,696.38,6,4,2.109
field_016,2024-04-07,2024-04-07T00:00:00,33.05,42.41,21.24,9.86,50.77,wheat,Торфяной,0.3929,1.22,1.48,False,42.41,82.83,34.86,613.27,0,4,3.143
field_017,2024-04-07,2024-04-07T00:00:00,22.66,79.4,15.75,4.01,58.67,sugar_beet,Чернозём,0.9531,4.24,3.97,False,79.4,148.97,20.59,265.82,5,0,57.187
field_018,2024-04-07,2024-04-07T00:00:00,26.57,28.09,22.1,13.73,39.94,soy,Песчаник,0.4283,9.49,8.77,False,28.09,187.15,24.61,260.12,4,2,1.927
field_019,2024-04-07,2024-04-07T00:00:00,10.08,94.06,7.53,2.33,67.53,barley,Песчаник,0.5325,0.0,0.0,False,94.06,56.85,11.28,714.36,3,2,3.728
field_020,2024-04-08,2024-04-08T00:00:00,9.69,45.3,7.62,5.9,38.38,barley,Торфяной,0.4808,3.62,4.07,False,45.3,49.48,10.36,397.09,3,4,3.366
field_001,2024-04-08,2024-04-08T00:00:00,19.64,59.61,5.64,9.24,42.26,corn,Глинистый,0.6497,8.19,7.96,False,59.61,42.34,20.04,538.77,1,3,7.796
field_002,2024-04-08,2024-04-08T00:00:00,26.91,51.33,12.82,7.43,53.39,sunflower,Суглинок,0.6826,2.78,2.31,False,51.33,110.97,29.23,452.18,2,1,2.731
field_003,2024-04-08,2024-04-08T00:00:00,9.05,30.26,21.05,4.6,48.56,sugar_beet,Чернозём,0.4957,8.97,7.5,False,30.26,81.86,7.74,253.8,5,0,29.743
field_004,2024-04-08,2024-04-08T00:00:00,18.03,36.21,15.02,10.88,37.22,sugar_beet,Песчаник,0.5863,12.88,11.47,False,36.21,65.16,17.22,747.28,5,2,35.179
field_005,2024-04-09,2024-04-09T00:00:00,27.43,25.78,5.23,13.85,17.52,sunflower,Торфяной,0.5832,19.24,14.87,False,25.78,37.5,25.41,651.78,2,4,2.333
field_006,2024-04-09,2024-04-09T00:00:00,20.69,53.66,2.0,2.78,49.8,barley,Суглинок,0.5042,0.06,0.07,False,53.66,17.59,20.29,240.4,3,1,3.53
field_007,2024-04-09,2024-04-09T00:00:00,22.16,67.81,12.33,9.19,52.27,other,Песчаник,0.5404,1.99,2.71,False,67.81,50.42,20.62,532.55,6,2,3.242
field_008,2024-04-09,2024-04-09T00:00:00,23.88,49.71,21.11,12.76,73.92,soy,Суглинок,0.6205,0.0,0.0,False,49.71,145.21,25.5,452.87,4,1,2.792
field_009,2024-04-09,2024-04-09T00:00:00,23.6,32.66,9.96,2.92,27.06,soy,Суглинок,0.6307,12.87,13.28,False,32.66,98.85,24.38,353.31,4,1,2.838
field_010,2024-04-09,2024-04-09T00:00:00,25.95,25.53,6.95,6.84,13.3,wheat,Торфяной,0.6376,16.53,14.6,False,25.53,58.53,26.75,522.21,0,4,5.1
field_011,2024-04-10,2024-04-10T00:00:00,32.37,88.28,2.85,13.59,54.1,sugar_beet,Чернозём,0.5417,6.34,5.56,False,88.28,24.61,32.01,542.46,5,0,32.503
field_012,2024-04-10,2024-04-10T00:00:00,17.13,34.04,1.02,13.7,29.86,other,Суглинок,0.438,7.92,10.55,False,34.04,9.15,17.07,428.98,6,1,2.628
field_013,2024-04-10,2024-04-10T00:00:00,33.07,92.5,20.56,9.55,89.11,sunflower,Глинистый,0.408,0.0,0.0,False,92.5,77.3,32.31,215.57,2,3,1.632
field_014,2024-04-10,2024-04-10T00:00:00,33.03,28.57,5.86,9.58,25.87,soy,Песчаник,0.2992,16.95,13.7,False,28.57,46.05,35.18,458.78,4,2,1.346
field_015,2024-04-10,2024-04-10T00:00:00,13.32,87.25,8.7,4.07,51.66,wheat,Песчаник,0.489,0.88,1.17,False,87.25,82.43,12.11,388.16,0,2,3.912
field_016,2024-04-11,2024-04-11T00:00:00,30.12,83.94,24.97,13.97,83.39,other,Торфяной,0.5487,0.0,0.0,False,83.94,139.19,29.57,494.92,6,4,3.292
field_017,2024-04-11,2024-04-11T00:00:00,22.39,34.81,9.13,8.99,36.14,soy,Торфяной,0.4596,12.88,10.1,False,34.81,36.27,20.6,421.97,4,4,2.068
field_018,2024-04-11,2024-04-11T00:00:00,23.93,45.77,22.42,10.47,60.52,sunflower,Суглинок,0.6966,0.0,0.0,False,45.77,115.39,22.88,467.73,2,1,2.786
field_019,2024-04-11,2024-04-11T00:00:00,16.29,36.35,21.86,6.31,52.96,soy,Торфяной,0.5496,4.66,4.22,False,36.35,119.84,16.66,620.29,4,4,2.473
field_020,2024-04-11,2024-04-11T00:00:00,36.59,82.49,4.63,7.32,55.51,barley,Торфяной,0.4273,0.0,0.0,False,82.49,34.42,34.2,723.21,3,4,2.991
field_001,2024-04-11,2024-04-11T00:00:00,6.44,42.96,1.64,1.83,38.8,barley,Глинистый,0.273,4.39,3.92,False,42.96,10.95,6.53,180.58,3,3,1.911
field_002,2024-04-12,2024-04-12T00:00:00,15.57,53.77,10.42,7.26,39.17,sunflower,Суглинок,0.4755,6.99,7.29,False,53.77,36.57,13.24,150.74,2,1,1.902
field_003,2024-04-12,2024-04-12T00:00:00,34.44,44.01,8.06,4.83,30.9,barley,Суглинок,0.4256,6.53,6.69,False,44.01,41.9,34.32,286.95,3,1,2.979
field_004,2024-04-12,2024-04-12T00:00:00,10.27,28.46,3.46,1.82,28.87,other,Глинистый,0.3956,11.35,10.9,False,28.46,34.32,7.32,168.77,6,3,2.374
field_005,2024-04-12,2024-04-12T00:00:00,34.73,25.35,21.33,3.78,39.1,soy,Суглинок,0.3992,9.62,9.06,False,25.35,167.13,32.71,663.29,4,1,1.796
field_006,2024-04-12,2024-04-12T00:00:00,17.65,84.36,7.96,4.65,99.16,other,Торфяной,0.4953,0.0,0.0,True,84.36,72.39,18.26,398.42,6,4,2.972
field_007,2024-04-13,2024-04-13T00:00:00,30.38,76.69,18.46,2.27,82.81,soy,Глинистый,0.4037,0.0,0.0,False,76.69,105.62,32.72,225.62,4,3,1.816
field_008,2024-04-13,2024-04-13T00:00:00,5.14,26.21,24.83,7.65,48.82,corn,Глинистый,0.4606,4.13,5.66,False,26.21,188.5,2.9,678.23,1,3,5.527
field_009,2024-04-13,2024-04-13T00:00:00,15.32,73.44,20.91,3.78,81.3,soy,Глинистый,0.504,0.0,0.0,False,73.44,75.83,15.89,674.33,4,3,2.268
field_010,2024-04-13,2024-04-13T00:00:00,30.4,66.39,18.96,11.21,67.64,sunflower,Песчаник,0.4117,0.0,0.0,False,66.39,196.88,29.92,157.48,2,2,1.647
field_011,2024-04-13,2024-04-13T00:00:00,18.83,74.83,3.73,12.8,64.62,corn,Суглинок,0.7092,0.15,0.13,False,74.83,38.21,16.9,665.39,1,1,8.511
field_012,2024-04-13,2024-04-13T00:00:00,18.27,62.74,18.54,12.68,75.53,soy,Торфяной,0.5189,0.0,0.0,False,62.74,159.8,19.96,212.77,4,4,2.335
field_013,2024-04-14,2024-04-14T00:00:00,31.03,26.69,24.48,4.67,45.98,sunflower,Глинистый,0.5614,4.64,4.91,False,26.69,150.31,32.34,386.78,2,3,2.246
field_014,2024-04-14,2024-04-14T00:00:00,37.74,59.14,4.92,9.68,44.45,wheat,Суглинок,0.4883,3.12,3.69,False,59.14,30.2,37.1,247.72,0,1,3.906
field_015,2024-04-14,2024-04-14T00:00:00,31.37,89.32,6.95,3.85,63.14,wheat,Чернозём,0.7538,0.0,0.0,False,89.32,34.17,29.49,431.05,0,0,6.03
field_016,2024-04-14,2024-04-14T00:00:00,22.34,33.08,6.31,13.79,28.85,soy,Торфяной,0.5569,9.4,12.65,False,33.08,35.11,23.93,690.99,4,4,2.506
field_017,2024-04-14,2024-04-14T00:00:00,15.66,65.36,2.42,3.77,40.93,barley,Чернозём,0.6769,3.33,3.17,False,65.36,22.84,16.36,249.19,3,0,4.739
field_018,2024-04-15,2024-04-15T00:00:00,15.36,52.1,10.12,1.95,58.72,corn,Торфяной,0.5634,1.89,2.2,False,52.1,89.27,17.0,714.92,1,4,6.761
field_019,2024-04-15,2024-04-15T00:00:00,11.28,55.19,11.25,4.95,58.63,barley,Песчаник,0.4926,0.0,0.0,False,55.19,58.67,12.54,674.75,3,2,3.448
field_020,2024-04-15,2024-04-15T00:00:00,37.9,89.82,19.43,6.25,80.35,sunflower,Чернозём,0.5846,0.0,0.0,False,89.82,138.44,37.84,471.94,2,0,2.339
field_001,2024-04-15,2024-04-15T00:00:00,38.36,36.94,13.86,12.86,48.17,wheat,Суглинок,0.4394,2.34,2.39,False,36.94,68.66,36.88,221.37,0,1,3.515
field_002,2024-04-15,2024-04-15T00:00:00,23.62,38.67,24.72,12.91,41.0,soy,Суглинок,0.397,7.61,8.4,False,38.67,228.07,25.07,241.73,4,1,1.787
field_003,2024-04-15,2024-04-15T00:00:00,26.79,79.81,19.84,0.33,67.67,barley,Торфяной,0.6632,0.0,0.0,False,79.81,98.88,29.34,533.41,3,4,4.643
field_004,2024-04-16,2024-04-16T00:00:00,9.52,36.12,15.81,6.62,34.45,sunflower,Глинистый,0.5085,8.79,8.94,False,36.12,98.8,12.05,585.71,2,3,2.034
field_005,2024-04-16,2024-04-16T00:00:00,16.99,37.94,16.95,10.57,33.77,corn,Торфяной,0.592,11.98,10.93,False,37.94,159.73,14.24,685.49,1,4,7.104
field_006,2024-04-16,2024-04-16T00:00:00,38.16,51.74,18.46,12.73,61.92,sunflower,Песчаник,0.4318,0.0,0.0,False,51.74,116.72,38.53,455.36,2,2,1.727
field_007,2024-04-16,2024-04-16T00:00:00,20.4,34.18,2.29,4.77,31.02,sugar_beet,Чернозём,0.7567,16.59,13.64,False,34.18,18.74,21.33,161.86,5,0,45.405
field_008,2024-04-16,2024-04-16T00:00:00,28.37,34.44,6.88,3.07,33.36,other,Песчаник,0.5276,11.85,9.32,False,34.44,30.75,27.08,696.2,6,2,3.166
field_009,2024-04-17,2024-04-17T00:00:00,13.93,70.66,8.01,5.78,51.54,soy,Торфяной,0.419,4.55,4.71,False,70.66,82.79,13.33,163.94,4,4,1.885
field_010,2024-04-17,2024-04-17T00:00:00,34.89,48.52,13.61,12.8,41.78,other,Торфяной,0.4125,8.21,6.38,False,48.52,94.33,35.68,296.52,6,4,2.475
field_011,2024-04-17,2024-04-17T00:00:00,31.76,80.67,12.02,3.83,68.05,barley,Песчаник,0.5196,0.0,0.0,False,80.67,80.44,30.2,323.59,3,2,3.637
field_012,2024-04-17,2024-04-17T00:00:00,35.12,37.24,0.19,10.91,35.99,soy,Чернозём,0.2469,13.19,10.15,False,37.24,1.1,36.91,233.0,4,0,1.111
field_013,2024-04-17,2024-04-17T00:00:00,10.39,55.86,15.49,11.13,56.85,corn,Суглинок,0.6076,3.13,2.85,False,55.86,155.39,13.27,232.8,1,1,7.291
field_014,2024-04-17,2024-04-17T00:00:00,34.14,37.87,10.59,13.89,43.68,wheat,Торфяной,0.4471,3.0,3.96,False,37.87,77.98,34.14,541.61,0,4,3.577
field_015,2024-04-18,2024-04-18T00:00:00,39.18,48.24,11.53,11.09,49.35,soy,Торфяной,0.3929,5.21,5.48,False,48.24,74.64,36.49,362.0,4,4,1.768
field_016,2024-04-18,2024-04-18T00:00:00,31.21,83.5,12.28,2.4,103.42,sunflower,Песчаник,0.4305,0.0,0.0,True,83.5,119.76,29.07,207.66,2,2,1.722
field_017,2024-04-18,2024-04-18T00:00:00,6.22,72.61,20.58,7.68,55.11,barley,Песчаник,0.3894,0.0,0.0,False,72.61,96.22,4.1,643.87,3,2,2.726
field_018,2024-04-18,2024-04-18T00:00:00,14.01,79.92,12.6,3.15,48.52,sugar_beet,Глинистый,0.4884,5.65,7.52,False,79.92,110.31,13.8,281.51,5,3,29.303
field_019,2024-04-18,2024-04-18T00:00:00,11.14,85.09,9.96,5.68,62.77,sugar_beet,Чернозём,0.8971,3.1,2.53,False,85.09,103.94,8.96,419.24,5,0,53.829
field_020,2024-04-19,2024-04-19T00:00:00,12.73,72.89,7.23,10.03,49.17,other,Песчаник,0.3702,4.02,3.79,False,72.89,62.46,13.13,647.13,6,2,2.221
field_001,2024-04-19,2024-04-19T00:00:00,14.11,55.56,18.95,7.45,60.04,wheat,Чернозём,0.7373,0.0,0.0,False,55.56,175.95,14.47,312.42,0,0,5.898
field_002,2024-04-19,2024-04-19T00:00:00,5.04,40.5,22.36,6.82,52.03,sunflower,Торфяной,0.4315,2.31,2.79,False,40.5,179.44,3.07,431.97,2,4,1.726
field_003,2024-04-19,2024-04-19T00:00:00,11.84,74.61,5.35,2.15,51.03,other,Глинистый,0.4321,2.88,3.14,False,74.61,22.45,10.08,255.68,6,3,2.592
field_004,2024-04-19,2024-04-19T00:00:00,17.51,44.33,15.26,1.77,41.42,other,Чернозём,0.5754,5.03,6.5,False,44.33,75.36,19.84,209.9,6,0,3.453
field_005,2024-04-19,2024-04-19T00:00:00,31.4,84.85,13.15,13.3,75.12,wheat,Чернозём,0.7643,0.0,0.0,False,84.85,137.78,28.66,344.36,0,0,6.115
field_006,2024-04-20,2024-04-20T00:00:00,22.45,61.04,24.27,4.7,62.46,soy,Суглинок,0.4766,1.09,0.89,False,61.04,149.64,21.84,226.83,4,1,2.145
field_007,2024-04-20,2024-04-20T00:00:00,17.55,54.83,10.79,4.81,34.13,corn,Суглинок,0.7026,10.56,10.81,False,54.83,85.57,20.11,384.9,1,1,8.431
field_008,2024-04-20,2024-04-20T00:00:00,24.4,48.41,8.64,5.63,37.98,barley,Торфяной,0.6553,4.86,4.21,False,48.41,53.16,21.97,583.87,3,4,4.587
field_009,2024-04-20,2024-04-20T00:00:00,33.94,92.71,14.93,12.96,89.78,corn,Торфяной,0.4036,0.0,0.0,False,92.71,122.21,31.25,385.49,1,4,4.843
field_010,2024-04-20,2024-04-20T00:00:00,24.69,26.94,18.59,11.08,46.18,soy,Торфяной,0.4579,6.09,6.59,False,26.94,175.92,24.67,153.28,4,4,2.06
field_011,2024-04-21,2024-04-21T00:00:00,14.46,36.72,19.37,12.02,53.88,sunflower,Торфяной,0.5498,2.63,2.14,False,36.72,135.15,14.68,728.15,2,4,2.199
field_012,2024-04-21,2024-04-21T00:00:00,8.54,84.2,12.04,5.37,61.21,corn,Чернозём,0.5825,1.57,1.33,False,84.2,89.74,11.43,404.99,1,0,6.99
field_013,2024-04-21,2024-04-21T00:00:00,14.95,47.18,21.86,2.54,45.01,sunflower,Глинистый,0.5261,5.61,5.24,False,47.18,80.17,15.08,564.08,2,3,2.104
field_014,2024-04-21,2024-04-21T00:00:00,21.16,63.12,5.36,13.28,32.44,soy,Чернозём,0.5969,14.65,11.4,False,63.12,23.99,19.29,208.09,4,0,2.686
field_015,2024-04-21,2024-04-21T00:00:00,27.81,88.61,15.86,13.91,80.14,sunflower,Песчаник,0.519,0.0,0.0,False,88.61,103.11,27.39,470.76,2,2,2.076
field_016,2024-04-21,2024-04-21T00:00:00,36.6,28.29,23.4,2.43,52.24,other,Глинистый,0.4819,2.83,2.72,False,28.29,219.05,34.31,650.82,6,3,2.892
field_017,2024-04-22,2024-04-22T00:00:00,20.58,29.61,24.22,1.59,51.32,barley,Глинистый,0.6775,0.0,0.0,False,29.61,137.43,18.71,728.62,3,3,4.742
field_018,2024-04-22,2024-04-22T00:00:00,34.48,93.87,3.17,13.61,66.24,other,Песчаник,0.3792,0.0,0.0,False,93.87,28.78,34.75,689.35,6,2,2.275
field_019,2024-04-22,2024-04-22T00:00:00,17.66,53.58,2.24,8.69,30.19,soy,Чернозём,0.37,10.03,12.18,False,53.58,9.07,19.34,708.41,4,0,1.665
field_020,2024-04-22,2024-04-22T00:00:00,12.65,62.65,23.4,1.17,66.22,wheat,Чернозём,0.7115,0.0,0.0,False,62.65,242.01,11.07,242.16,0,0,5.692
field_001,2024-04-22,2024-04-22T00:00:00,26.91,39.74,20.01,1.54,59.93,corn,Песчаник,0.6528,2.24,1.77,False,39.74,156.6,29.09,358.74,1,2,7.833
field_002,2024-04-23,2024-04-23T00:00:00,31.98,64.45,4.57,3.43,40.09,corn,Глинистый,0.5131,11.0,8.72,False,64.45,26.26,32.9,410.86,1,3,6.157
field_003,2024-04-23,2024-04-23T00:00:00,8.76,61.33,12.99,6.85,31.8,sugar_beet,Торфяной,0.4674,14.12,13.37,False,61.33,91.67,8.38,441.77,5,4,28.046
field_004,2024-04-23,2024-04-23T00:00:00,27.32,28.71,24.53,11.56,43.36,sunflower,Глинистый,0.5331,5.57,5.82,False,28.71,166.42,29.7,186.2,2,3,2.132
field_005,2024-04-23,2024-04-23T00:00:00,34.97,71.07,8.69,6.12,50.83,soy,Глинистый,0.3798,5.66,4.96,False,71.07,70.73,36.0,372.55,4,3,1.709
field_006,2024-04-23,2024-04-23T00:00:00,12.54,79.4,3.28,4.03,37.46,sugar_beet,Песчаник,0.539,9.03,11.39,False,79.4,16.03,13.3,686.81,5,2,32.339
field_007,2024-04-23,2024-04-23T00:00:00,15.2,63.65,22.07,6.85,61.38,wheat,Торфяной,0.5803,0.0,0.0,False,63.65,194.75,16.45,364.61,0,4,4.642
field_008,2024-04-24,2024-04-24T00:00:00,24.26,76.47,1.75,6.44,42.6,corn,Песчаник,0.483,7.19,7.84,False,76.47,12.01,25.95,639.04,1,2,5.796
field_009,2024-04-24,2024-04-24T00:00:00,21.36,53.62,6.02,6.31,43.14,sugar_beet,Глинистый,0.5766,7.91,9.4,False,53.62,52.78,20.25,228.53,5,3,34.599
field_010,2024-04-24,2024-04-24T00:00:00,37.55,61.35,16.07,12.75,-2.66,sunflower,Песчаник,0.3761,5.98,7.99,True,61.35,153.84,40.54,683.87,2,2,1.504
field_011,2024-04-24,2024-04-24T00:00:00,22.3,54.74,14.2,11.16,68.69,wheat,Торфяной,0.7195,0.0,0.0,False,54.74,104.62,24.32,285.11,0,4,5.756
field_012,2024-04-24,2024-04-24T00:00:00,16.0,54.32,6.7,4.36,29.11,corn,Чернозём,0.681,9.23,12.56,False,54.32,51.9,18.64,484.2,1,0,8.172
field_013,2024-04-25,2024-04-25T00:00:00,19.1,85.89,17.03,12.81,82.74,sugar_beet,Чернозём,0.8816,0.0,0.0,False,85.89,82.5,17.15,308.83,5,0,52.894
field_014,2024-04-25,2024-04-25T00:00:00,14.67,119.91,6.61,10.87,70.16,soy,Суглинок,0.5274,0.0,0.0,True,119.91,43.06,14.26,615.47,4,1,2.374
field_015,2024-04-25,2024-04-25T00:00:00,6.35,40.18,12.97,5.39,40.73,barley,Суглинок,0.4517,3.07,3.24,False,40.18,118.96,3.89,598.25,3,1,3.162
field_016,2024-04-25,2024-04-25T00:00:00,35.16,71.88,17.26,3.67,70.0,corn,Торфяной,0.6016,0.0,0.0,False,71.88,179.18,34.63,704.01,1,4,7.219
field_017,2024-04-25,2024-04-25T00:00:00,12.02,38.53,11.6,3.94,37.22,sugar_beet,Глинистый,0.5225,8.96,11.47,False,38.53,64.08,13.8,631.63,5,3,31.349
field_018,2024-04-26,2024-04-26T00:00:00,19.07,41.4,21.17,11.03,56.93,corn,Чернозём,0.9034,3.41,2.82,False,41.4,133.23,16.28,533.55,1,0,10.84
field_019,2024-04-26,2024-04-26T00:00:00,12.97,28.69,21.69,11.0,45.84,corn,Чернозём,0.642,6.47,6.71,False,28.69,122.32,13.68,226.98,1,0,7.704
field_020,2024-04-26,2024-04-26T00:00:00,23.46,79.37,20.51,7.19,81.39,other,Глинистый,0.6287,0.0,0.0,False,79.37,179.39,22.19,293.0,6,3,3.772
field_001,2024-04-26,2024-04-26T00:00:00,36.96,43.01,18.41,13.46,37.52,barley,Чернозём,0.5726,5.64,4.37,False,43.01,151.83,37.1,627.14,3,0,4.008
field_002,2024-04-26,2024-04-26T00:00:00,27.34,59.6,24.67,11.09,68.35,sugar_beet,Глинистый,0.7233,0.71,0.58,False,59.6,102.53,26.81,320.43,5,3,43.399
field_003,2024-04-26,2024-04-26T00:00:00,31.96,49.59,15.16,10.05,48.18,sunflower,Суглинок,0.5189,3.04,4.14,False,49.59,122.93,33.93,282.09,2,1,2.076
field_004,2024-04-27,2024-04-27T00:00:00,35.28,27.26,9.91,10.52,17.03,barley,Глинистый,0.3272,11.76,11.54,False,27.26,100.26,32.58,669.97,3,3,2.29
field_005,2024-04-27,2024-04-27T00:00:00,13.6,41.84,0.68,7.58,29.15,other,Чернозём,0.483,11.71,10.8,False,41.84,6.94,14.86,596.4,6,0,2.898
field_006,2024-04-27,2024-04-27T00:00:00,36.08,84.26,8.74,12.93,57.15,barley,Торфяной,0.4046,0.0,0.0,False,84.26,65.98,33.93,691.74,3,4,2.832
field_007,2024-04-27,2024-04-27T00:00:00,9.2,30.21,24.75,10.91,41.8,sunflower,Чернозём,0.5832,6.9,6.37,False,30.21,99.44,7.0,498.14,2,0,2.333
field_008,2024-04-27,2024-04-27T00:00:00,29.95,57.66,8.65,2.4,41.3,soy,Глинистый,0.4611,7.45,8.29,False,57.66,58.6,27.96,306.42,4,3,2.075
